股票代码,股票简称,最新价,最新涨跌幅,个股热度[20251128],个股热度排名[20251128],market_code,code
600879.SH,航天电子,10.97,2.332089552,27998.5,285,17,600879
002114.SZ,罗平锌电,8.2,-6.285714286,27920.0,286,33,002114
002837.SZ,英维克,71.81,-0.979040265,27892.5,287,33,002837
300455.SZ,航天智装,25.62,3.556992724,27760.5,288,33,300455
600170.SH,上海建工,2.76,0.729927007,27706.0,289,17,600170
603083.SH,剑桥科技,109.62,-0.472126385,27662.0,290,17,603083
603131.SH,上海沪工,28.17,0.213447172,27582.5,291,17,603131
002156.SZ,通富微电,36.61,0.687568757,27539.5,292,33,002156
300053.SZ,航宇微,15.19,3.192934783,27509.5,293,33,300053
600835.SH,上海机电,30.88,0.948022229,27424.0,294,17,600835
600996.SH,贵广网络,12.11,-3.888888889,27377.5,295,17,600996
300188.SZ,国投智能,16.59,7.448186528,27333.5,296,33,300188
603909.SH,建发合诚,12.91,9.96592845,27319.0,297,17,603909
002228.SZ,合兴包装,4.24,2.168674699,27166.0,298,33,002228
002436.SZ,兴森科技,21.52,6.587419515,26984.0,299,33,002436
300394.SZ,天孚通信,158,1.876329873,26963.0,300,33,300394
